libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+12+ge905f081-5
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86misc 1.0.3-2
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzmf 0.0.1-1
licenses 20140629-1
light-locker 1.6.0-3
lightdm 1:1.20.0-2
lightdm-gtk-greeter 1:2.0.2-1
lightdm-gtk-greeter-settings 1.2.1-5
linux 4.9.6-1
linux-api-headers 4.7-1
linux-firmware 20161222.4b9559f-2
lirc 1:0.9.4.c-4
llvm-libs 3.9.1-2
logrotate 3.11.0-1
lpsolve 5.5.2.5-1
lua 5.3.3-2
lua-expat 1.3.0-3
lua-filesystem 1.6.3-3
lua-penlight 1.4.1-1
lua-posix 33.4.0-1
lua-socket 20160311-1
lua51 5.1.5-6
luarocks 2.4.2-1
lvm2 2.02.168-1
lxappearance 0.6.3-1
lxmenu-data 0.1.5-1
lynx 2.8.8-4
lz4 1:1.7.5-1
lzo 2.09-1
m4 1.4.18-1
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.09-1
mdadm 3.4-1
menu-cache 1.0.2-1
mesa 13.0.4-1
mesa-libgl 13.0.4-1
meson 0.38.0-1
minizip 1:1.2.11-1
mirage 0.9.5.2-4
mkinitcpio 22-1
mkinitcpio-busybox 1.25.1-1
mobile-broadband-provider-info 20151214-1
mpfr 3.1.5.p2-1
mpg123 1.23.8-1
mplayer 37916-1
mtdev 1.1.5-1
namcap 3.2.7-2
nano 2.7.4-1
ncurses 6.0+20161224-1
neofetch 3.0.1-1
neon 0.30.2-1
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
network-manager-applet 1.4.4-3
networkmanager 1.6.0-4
ninja 1.7.2-1
nitrogen 1.6.0-2
nm-connection-editor 1.4.4-3
notification-daemon 3.20.0-1
noto-fonts 20170112-1
npth 1.3-1
nspr 4.13.1-1
nss 3.28.1-1
ntp 4.2.8.p9-1
numix-themes 2.6.5-1
numlockx 1.2-3
obconf 2.0.4-4
oblogout 0.2-17
obmenu 1.0-11
ocl-icd 2.2.10-1
octopi 0.8.5-2
octopi-cachecleaner 0.8.5-2
octopi-notifier-frameworks 0.8.5-2
octopi-pacmanhelper 0.8.5-2
octopi-repoeditor 0.8.5-2
oomox 1.0.0-1
openal 1.17.2-2
openbox 3.6.1-3
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.8.1-1
openssh 7.4p1-2
openssl 1.0.2.k-1
opus 1.1.4-1
orc 0.4.26-1
os-prober 1.71-1
p11-kit 0.23.2-1
p7zip 16.02-2
package-query 1.8-1
pacman 5.0.1-4
pacman-mirrorlist 20170201-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-2
pangomm 2.40.1-1
patch 2.7.5-1
pciutils 3.5.2-1
pcmanfm 1.2.5-1
pcmciautils 018-7
pcre 8.39-2
pcre2 10.22-2
perl 5.24.1-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
perl-locale-gettext 1.07-2
perl-sgmls 1:1.1-2
perl-uri 1.71-1
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-4
phonon-qt5 4.9.1-1
phonon-qt5-gstreamer 4.9.0-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.1-2
polkit 0.113+29+g3272a98-1
polkit-gnome 0.105-3
poppler 0.51.0-1
poppler-glib 0.51.0-1
popt 1.16-8
potrace 1.13-1
ppp 2.4.7-2
procps-ng 3.3.12-1
psmisc 22.21-3
pyalpm 0.8-2
pygobject-devel 3.22.0-2
pygobject2-devel 2.28.6-13
pygtk 2.24.0-6
python 3.6.0-2
python-appdirs 1.4.0-5
python-beaker 1.8.1-2
python-cairo 1.10.0-8
python-cffi 1.9.1-2
python-cryptography 1.7.2-1
python-dbus-common 1.2.4-2
python-gobject 3.22.0-2
python-idna 2.2-2
python-lxml 3.7.2-1
python-mako 1.0.6-2
python-markupsafe 0.23-4
python-packaging 16.8-2
python-paramiko 2.1.1-2
python-pexpect 4.2.1-2
python-ply 3.10-1
python-ptyprocess 0.5.1-2
python-pyalsaaudio 0.8.2-1
python-pyasn1 0.1.9-2
python-pycparser 2.17-2
python-pyelftools 0.24-2
python-pyparsing 2.1.10-2
python-setuptools 1:34.1.1-1
python-six 1.10.0-3
python-xdg 0.25-4
python-xlib 0.18-3
python2 2.7.13-1
python2-appdirs 1.4.0-5
python2-cairo 1.10.0-2
python2-dbus 1.2.4-2
python2-distutils-extra 2.39-2
python2-gobject 3.22.0-2
python2-gobject2 2.28.6-13
